"","lang","nativeCountryArea","complexity","logpop2","lat","lon","missing","propPresent","complexityCentered"
"1","Vietnamese","Asia",-15,7.82891,10.5,106.5,2,0.91667,-0.68182
"2","Yoruba","Africa",-14,7.28616,8,4.33,2,0.91667,-0.63636
"3","English","Europe",-14,8.49045,52,0,0,1,-0.58333
"4","Oromo (Harar)","Africa",-13,6.65571,9,42,1,0.95833,-0.56522
"5","Khmer","Asia",-13,7.12309,12.5,105,6,0.75,-0.72222
"6","Thai","Asia",-13,7.306,16,101,5,0.79167,-0.68421
"7","Maori","Australia and Oceania",-13,4.69897,-40,176,3,0.875,-0.61905
"8","German","Europe",-13,7.97952,52,10,0,1,-0.54167
"9","Ewe","Africa",-12,6.4931,6.33,0.42,2,0.91667,-0.54545
"10","Khmu	Asia	-12	5.68101	21.00	102.00	7	0.70833	-0.70588
French	Europe	-12	7.81197	48.00	2.00	0	1.00000	-0.50000
Latvian	Europe	-12	6.18860	57.00	24.00	3	0.87500	-0.57143
Spanish	Europe	-12	8.50826	40.00	-4.00	0	1.00000	-0.50000
Ndyuka	South America	-12	4.34506	5.00	-54.50	5	0.79167	-0.63158
Rapanui	South America	-12	3.53046	-27.00	-109.00	3	0.87500	-0.57143
Diola-Fogny	Africa	-11	5.55422	13.00	-16.00	4	0.83333	-0.55000
Ju|hoan","Africa",-11,3.69897,-19,21,5,0.79167,-0.57895
"11","Kera","Africa",-11,4.70349,9.83,15.08,5,0.79167,-0.57895
"12","Krongo","Africa",-11,4.33622,10.5,30,0,1,-0.45833
"13","Supyire","Africa",-11,5.5611,11.5,-5.58,2,0.91667,-0.5
"14","Bawm","Asia",-11,4.13966,22.5,92.25,5,0.79167,-0.57895
"15","Burmese","Asia",-11,7.50922,21,96,4,0.83333,-0.55
"16","Hmong Njua","Asia",-11,6.11079,28,105,6,0.75,-0.61111
"17","Indonesian","Asia",-11,7.36443,0,106,2,0.91667,-0.5
"18","Tukang Besi","Asia",-11,5.11394,-5.5,123.5,4,0.83333,-0.55
"19","Drehu","Australia and Oceania",-11,4.05454,-21,167.25,7,0.70833,-0.64706
"20","Russian","Eurasia",-11,8.16146,56,38,1,0.95833,-0.47826
"21","Yukaghir (Kolyma)","Eurasia",-11,1.69897,65.75,150.83,1,0.95833,-0.47826
"22","Greek (Modern)","Europe",-11,7.08844,39,22,0,1,-0.45833
"23","Wari	South America	-11	3.26316	-11.33	-65.00	4	0.83333	-0.55000
Grebo	Africa	-10	4.37475	5.00	-8.00	4	0.83333	-0.50000
Hausa	Africa	-10	7.38313	12.00	7.00	1	0.95833	-0.43478
Igbo	Africa	-10	7.25527	6.00	7.33	8	0.66667	-0.62500
Khoekhoe	Africa	-10	5.36866	-25.50	18.00	4	0.83333	-0.50000
Koyraboro Senni	Africa	-10	5.60206	16.00	0.00	3	0.87500	-0.47619
Sango	Africa	-10	5.60638	5.00	18.00	4	0.83333	-0.50000
Chrau	Asia	-10	4.35347	10.75	107.50	9	0.62500	-0.66667
Hindi	Asia	-10	8.25711	25.00	77.00	3	0.87500	-0.47619
Kannada	Asia	-10	7.54834	14.00	76.00	1	0.95833	-0.43478
Lepcha	Asia	-10	4.87982	27.17	88.50	5	0.79167	-0.52632
Mandarin	Asia	-10	8.94102	34.00	110.00	5	0.79167	-0.52632
Maybrat	Asia	-10	4.30103	-1.33	132.50	2	0.91667	-0.45455
Amele	Australia and Oceania	-10	3.72428	-5.25	145.58	2	0.91667	-0.45455
Fijian	Australia and Oceania	-10	5.52383	-17.83	178.00	4	0.83333	-0.50000
Tiwi	Australia and Oceania	-10	3.17609	-11.50	131.00	3	0.87500	-0.47619
Chukchi	Eurasia	-10	4.00000	67.00	-173.00	1	0.95833	-0.43478
Finnish	Europe	-10	6.71873	62.00	25.00	0	1.00000	-0.41667
Irish	Europe	-10	5.55023	53.00	-8.00	3	0.87500	-0.47619
Mixtec (Chalcatongo)	North America	-10	4.15996	17.05	-97.58	1	0.95833	-0.43478
Araona	South America	-10	1.90849	-12.33	-67.75	2	0.91667	-0.45455
Sanuma	South America	-10	3.70535	4.50	-64.67	4	0.83333	-0.50000
Iraqw	Africa	-9	5.66464	-4.00	35.50	5	0.79167	-0.47368
Koromfe	Africa	-9	5.29248	14.25	-0.92	6	0.75000	-0.50000
Luvale	Africa	-9	5.82543	-12.00	22.00	4	0.83333	-0.45000
Hebrew (Modern)	Asia	-9	6.70372	31.50	34.83	2	0.91667	-0.40909
Kayah Li (Eastern)	Asia	-9	5.55657	19.00	97.50	7	0.70833	-0.52941
Khasi	Asia	-9	5.93702	25.50	92.00	9	0.62500	-0.60000
Kayardild	Australia and Oceania	-9	1.69897	-17.05	139.50	5	0.79167	-0.47368
Lavukaleve	Australia and Oceania	-9	3.25115	-9.08	159.20	1	0.95833	-0.39130
Maranungku	Australia and Oceania	-9	1.69897	-13.67	130.00	7	0.70833	-0.52941
Suena	Australia and Oceania	-9	3.47712	-7.75	147.55	6	0.75000	-0.50000
Nenets	Eurasia	-9	4.42700	69.00	72.00	4	0.83333	-0.45000
Nivkh	Eurasia	-9	3.03703	53.33	142.00	1	0.95833	-0.39130
Hungarian	Europe	-9	7.13391	47.00	20.00	1	0.95833	-0.39130
Lakhota	North America	-9	3.77815	43.83	-101.83	2	0.91667	-0.40909
Mapudungun	South America	-9	5.47712	-38.00	-72.00	4	0.83333	-0.45000
Pirahã	South America	-9	2.17609	-7.00	-62.00	5	0.79167	-0.47368
Quechua (Imbabura)	South America	-9	5.47712	0.33	-78.00	1	0.95833	-0.39130
Arabic (Egyptian)	Africa	-8	7.66578	30.00	31.00	1	0.95833	-0.34783
Bagirmi	Africa	-8	4.65090	11.67	16.00	4	0.83333	-0.40000
Bambara	Africa	-8	6.44504	12.50	-7.50	9	0.62500	-0.53333
Kanuri	Africa	-8	6.53468	12.00	13.00	2	0.91667	-0.36364
Lango	Africa	-8	5.99020	2.17	33.00	3	0.87500	-0.38095
Swahili	Africa	-8	5.88798	-6.50	39.00	2	0.91667	-0.36364
Zulu	Africa	-8	6.98061	-30.00	30.00	3	0.87500	-0.38095
Batak (Karo)	Asia	-8	5.77815	3.25	98.25	6	0.75000	-0.44444
Meithei	Asia	-8	6.10072	24.75	94.00	3	0.87500	-0.38095
Sentani	Asia	-8	4.47712	-2.58	140.58	10	0.58333	-0.57143
Taba	Asia	-8	4.30103	0.00	127.50	7	0.70833	-0.47059
Imonda	Australia and Oceania	-8	2.39794	-3.33	141.17	4	0.83333	-0.40000
Kiribati	Australia and Oceania	-8	4.83117	1.33	173.00	8	0.66667	-0.50000
Yidiny	Australia and Oceania	-8	1.69897	-17.00	145.75	7	0.70833	-0.47059
Ket	Eurasia	-8	2.74036	64.00	87.00	3	0.87500	-0.38095
Chinantec (Lealao)	North America	-8	3.30103	17.33	-95.92	6	0.75000	-0.44444
Karok	North America	-8	1.69897	41.67	-123.00	5	0.79167	-0.42105
Yaqui	North America	-8	4.21500	27.50	-110.25	2	0.91667	-0.36364
Awa Pit	South America	-8	4.32222	1.50	-78.25	3	0.87500	-0.38095
Barasano	South America	-8	2.54407	-0.17	-70.67	2	0.91667	-0.36364
Warao	South America	-8	4.25527	9.33	-61.67	4	0.83333	-0.40000
Fur	Africa	-7	5.70053	13.50	25.00	9	0.62500	-0.46667
Murle	Africa	-7	4.77960	6.50	33.50	9	0.62500	-0.46667
Nkore-Kiga	Africa	-7	6.14347	-0.92	29.83	7	0.70833	-0.41176
Acehnese	Asia	-7	6.47712	5.50	95.50	11	0.54167	-0.53846
Asmat	Asia	-7	2.46240	-5.50	138.50	2	0.91667	-0.31818
Japanese	Asia	-7	8.08790	37.00	140.00	3	0.87500	-0.33333
Khalkha	Asia	-7	6.36868	47.00	105.00	1	0.95833	-0.30435
Lahu	Asia	-7	5.76131	20.00	98.17	8	0.66667	-0.43750
Mon	Asia	-7	5.92969	14.83	100.50	15	0.37500	-0.77778
Mundari	Asia	-7	6.31696	23.00	84.67	6	0.75000	-0.38889
Semelai	Asia	-7	3.46716	3.00	103.00	9	0.62500	-0.46667
Alamblak	Australia and Oceania	-7	3.18384	-4.67	143.33	2	0.91667	-0.31818
Arapesh	Australia and Oceania	-7	4.21040	-3.47	143.17	6	0.75000	-0.38889
Daga	Australia and Oceania	-7	3.77815	-10.00	149.33	7	0.70833	-0.41176
Gooniyandi	Australia and Oceania	-7	2.00000	-18.33	126.33	4	0.83333	-0.35000
Kewa	Australia and Oceania	-7	4.65321	-6.50	143.83	4	0.83333	-0.35000
Kilivila	Australia and Oceania	-7	4.30103	-8.50	151.08	5	0.79167	-0.36842
Kobon	Australia and Oceania	-7	3.77815	-5.17	144.33	5	0.79167	-0.36842
Mangarrayi	Australia and Oceania	-7	1.69897	-14.67	133.50	4	0.83333	-0.35000
Ngiyambaa	Australia and Oceania	-7	1.69897	-31.75	145.50	4	0.83333	-0.35000
Nunggubuyu	Australia and Oceania	-7	2.47712	-13.75	135.67	7	0.70833	-0.41176
Armenian (Eastern)	Eurasia	-7	6.82762	40.00	45.00	8	0.66667	-0.43750
Ingush	Eurasia	-7	5.36232	43.17	45.08	2	0.91667	-0.31818
Lak	Eurasia	-7	5.07741	42.17	47.17	11	0.54167	-0.53846
Albanian	Europe	-7	6.44393	41.00	20.00	7	0.70833	-0.41176
Greenlandic (West)	Europe	-7	4.73878	64.00	-51.00	0	1.00000	-0.29167
Swedish	Europe	-7	6.94398	60.00	15.00	10	0.58333	-0.50000
Acoma	North America	-7	3.53033	34.92	-107.58	2	0.91667	-0.31818
Comanche	North America	-7	2.30103	33.50	-101.50	5	0.79167	-0.36842
Kutenai	North America	-7	1.69897	49.50	-116.00	5	0.79167	-0.36842
Rama	North America	-7	1.69897	11.75	-83.75	5	0.79167	-0.36842
Yurok	North America	-7	1.69897	41.33	-124.00	6	0.75000	-0.38889
Apurinã	South America	-7	3.30103	-9.00	-67.00	5	0.79167	-0.36842
Canela-Krahô	South America	-7	3.15229	-6.00	-45.00	5	0.79167	-0.36842
Ika	South America	-7	4.15537	10.67	-73.75	4	0.83333	-0.35000
Paumarí	South America	-7	2.84510	-6.00	-64.00	3	0.87500	-0.33333
Selknam	South America	-7	1.69897	-53.00	-70.00	12	0.50000	-0.58333
Shipibo-Konibo	South America	-7	4.41497	-7.50	-75.00	6	0.75000	-0.38889
Trumai	South America	-7	1.89209	-12.00	-53.00	8	0.66667	-0.43750
Wichí	South America	-7	4.17609	-22.50	-62.58	5	0.79167	-0.36842
Berber (Middle Atlas)	Africa	-6	6.49831	33.00	-5.00	5	0.79167	-0.31579
Kisi	Africa	-6	5.51388	8.83	-10.17	10	0.58333	-0.42857
Koyra Chiini	Africa	-6	5.30103	17.00	-3.00	12	0.50000	-0.50000
Kunama	Africa	-6	5.03696	14.50	37.00	7	0.70833	-0.35294
Maba	Africa	-6	5.39794	13.75	20.83	8	0.66667	-0.37500
Mupun	Africa	-6	5.46982	9.50	8.83	11	0.54167	-0.46154
Ngiti	Africa	-6	5.00000	1.33	30.25	7	0.70833	-0.35294
Nubian (Dongolese)	Africa	-6	5.44716	18.25	30.75	4	0.83333	-0.30000
Wolof	Africa	-6	6.55782	15.25	-16.00	14	0.41667	-0.60000
Abun	Asia	-6	3.47712	-0.50	132.50	13	0.45833	-0.54545
Ainu	Asia	-6	1.69897	43.00	143.00	3	0.87500	-0.28571
Brahui	Asia	-6	6.34439	28.50	67.00	3	0.87500	-0.28571
Garo	Asia	-6	5.83059	25.67	90.50	7	0.70833	-0.35294
Georgian	Asia	-6	6.62103	42.00	44.00	4	0.83333	-0.30000
Korean	Asia	-6	7.82620	37.50	128.00	4	0.83333	-0.30000
Lai	Asia	-6	5.64959	22.67	93.67	15	0.37500	-0.66667
Lao	Asia	-6	6.50360	18.00	103.00	15	0.37500	-0.66667
Nicobarese (Car)	Asia	-6	4.47712	9.00	93.00	16	0.33333	-0.75000
Nung (in Vietnam)	Asia	-6	5.93268	21.92	106.42	15	0.37500	-0.66667
Paiwan	Asia	-6	4.82010	22.50	120.83	8	0.66667	-0.37500
Persian	Asia	-6	7.38589	32.00	54.00	1	0.95833	-0.26087
Chamorro	Australia and Oceania	-6	4.88482	13.45	144.75	3	0.87500	-0.28571
Iaai	Australia and Oceania	-6	3.19368	-20.42	166.58	15	0.37500	-0.66667
Martuthunira	Australia and Oceania	-6	1.69897	-20.83	116.50	6	0.75000	-0.33333
Nakanai	Australia and Oceania	-6	4.11394	-5.58	150.58	13	0.45833	-0.54545
Paamese	Australia and Oceania	-6	3.77815	-16.50	168.25	7	0.70833	-0.35294
Palauan	Australia and Oceania	-6	4.17099	7.50	134.58	10	0.58333	-0.42857
Usan	Australia and Oceania	-6	3.14613	-4.83	145.17	10	0.58333	-0.42857
Hunzib	Eurasia	-6	3.30103	42.17	46.25	3	0.87500	-0.28571
Lezgian	Eurasia	-6	5.65428	41.67	47.83	2	0.91667	-0.27273
Danish	Europe	-6	6.72426	56.00	10.00	14	0.41667	-0.60000
Dutch	Europe	-6	7.23982	52.50	6.00	9	0.62500	-0.40000
Icelandic	Europe	-6	5.37979	65.00	-17.00	13	0.45833	-0.54545
Italian	Europe	-6	7.78880	43.00	12.00	9	0.62500	-0.40000
Haida	North America	-6	1.69897	53.00	-132.00	7	0.70833	-0.35294
Hawaiian	North America	-6	3.00000	19.58	-155.50	13	0.45833	-0.54545
Kiowa	North America	-6	3.03822	37.00	-99.00	5	0.79167	-0.31579
Makah	North America	-6	1.69897	48.33	-124.67	9	0.62500	-0.40000
Otomí (Mezquital)	North America	-6	5.00000	20.17	-99.17	8	0.66667	-0.37500
Slave	North America	-6	3.14922	67.00	-125.00	2	0.91667	-0.27273
Squamish	North America	-6	1.69897	49.67	-123.17	10	0.58333	-0.42857
Zuni	North America	-6	3.98457	35.08	-108.83	12	0.50000	-0.50000
Hixkaryana	South America	-6	2.77815	-1.00	-59.00	2	0.91667	-0.27273
Yagua	South America	-6	3.75526	-3.50	-72.00	3	0.87500	-0.28571
Korana	Africa	-5	1.69897	-29.50	20.50	15	0.37500	-0.55556
Linda	Africa	-5	5.26245	6.50	20.75	16	0.33333	-0.62500
Mano	Africa	-5	5.40828	7.00	-9.00	15	0.37500	-0.55556
Mumuye	Africa	-5	5.60206	9.00	11.67	13	0.45833	-0.45455
Tigré	Africa	-5	5.90309	16.50	38.50	13	0.45833	-0.45455
Abkhaz	Asia	-5	5.02511	43.08	41.00	1	0.95833	-0.21739
Burushaski	Asia	-5	4.93976	36.50	74.50	3	0.87500	-0.23810
Dani (Lower Grand Valley)	Asia	-5	4.30103	-4.33	138.83	3	0.87500	-0.23810
Kashmiri	Asia	-5	6.66380	34.00	76.00	12	0.50000	-0.41667
Kimaghama	Asia	-5	3.47712	-8.00	138.50	17	0.29167	-0.71429
Maithili	Asia	-5	7.39441	26.00	86.00	16	0.33333	-0.62500
Marind	Asia	-5	3.84510	-7.83	140.17	7	0.70833	-0.29412
Panjabi	Asia	-5	7.44726	31.00	74.00	11	0.54167	-0.38462
Sundanese	Asia	-5	7.43136	-7.00	107.00	12	0.50000	-0.41667
Tagalog	Asia	-5	7.20140	15.00	121.00	7	0.70833	-0.29412
Una	Asia	-5	3.60206	-4.67	140.00	8	0.66667	-0.31250
Hamtai	Australia and Oceania	-5	4.65321	-7.50	146.25	11	0.54167	-0.38462
Maung	Australia and Oceania	-5	2.30103	-11.92	133.50	5	0.79167	-0.26316
Mokilese	Australia and Oceania	-5	3.02119	6.67	159.75	14	0.41667	-0.50000
Ngalakan	Australia and Oceania	-5	1.69897	-14.25	134.00	13	0.45833	-0.45455
Niuean	Australia and Oceania	-5	3.89988	-19.05	-170.12	16	0.33333	-0.62500
Pitjantjatjara	Australia and Oceania	-5	3.39794	-26.00	130.00	11	0.54167	-0.38462
Tigak	Australia and Oceania	-5	3.77815	-2.72	150.80	13	0.45833	-0.45455
Tinrin	Australia and Oceania	-5	2.42160	-21.67	165.75	11	0.54167	-0.38462
Tolai	Australia and Oceania	-5	4.78533	-4.25	152.08	13	0.45833	-0.45455
Wambaya	Australia and Oceania	-5	1.69897	-18.67	135.75	12	0.50000	-0.41667
Yapese	Australia and Oceania	-5	3.81902	9.58	138.17	12	0.50000	-0.41667
Yimas	Australia and Oceania	-5	2.47712	-4.67	143.55	9	0.62500	-0.33333
Evenki	Eurasia	-5	4.46240	56.00	125.00	0	1.00000	-0.20833
Ossetic	Eurasia	-5	5.72136	43.00	44.00	11	0.54167	-0.38462
Turkish	Eurasia	-5	7.70437	39.00	35.00	0	1.00000	-0.20833
Tuvan	Eurasia	-5	5.32098	52.00	95.00	14	0.41667	-0.50000
Basque	Europe	-5	5.76946	43.00	-3.00	2	0.91667	-0.22727
Polish	Europe	-5	7.63051	52.00	20.00	11	0.54167	-0.38462
Cahuilla	North America	-5	1.69897	33.50	-116.25	6	0.75000	-0.27778
Cree (Plains)	North America	-5	4.53275	54.00	-110.00	8	0.66667	-0.31250
Jakaltek	North America	-5	4.94448	15.67	-91.67	2	0.91667	-0.22727
Koasati	North America	-5	2.30103	34.83	-85.17	2	0.91667	-0.22727
Maricopa	North America	-5	2.25768	33.17	-113.17	5	0.79167	-0.26316
Nahuatl (Tetelcingo)	North America	-5	3.54407	19.67	-99.00	8	0.66667	-0.31250
Navajo	North America	-5	5.17181	36.17	-108.00	5	0.79167	-0.26316
Pipil	North America	-5	1.69897	13.83	-89.58	8	0.66667	-0.31250
Pomo (Southeastern)	North America	-5	1.69897	39.00	-122.50	6	0.75000	-0.27778
Totonac (Xicotepec de Juárez)	North America	-5	3.47712	20.42	-97.83	16	0.33333	-0.62500
Tunica	North America	-5	1.69897	32.67	-91.00	7	0.70833	-0.29412
Wichita	North America	-5	1.69897	33.33	-97.33	6	0.75000	-0.27778
Epena Pedee	South America	-5	3.90580	3.00	-77.00	5	0.79167	-0.26316
Urubu-Kaapor	South America	-5	2.69897	-2.33	-46.50	5	0.79167	-0.26316
Amharic	Africa	-4	7.24100	10.00	38.00	9	0.62500	-0.26667
Arabic (Moroccan)	Africa	-4	7.28960	34.00	-6.00	14	0.41667	-0.40000
Bari	Africa	-4	5.68124	5.00	31.67	13	0.45833	-0.36364
Beja	Africa	-4	6.07115	18.00	36.00	7	0.70833	-0.23529
Birom	Africa	-4	5.47712	9.67	8.83	16	0.33333	-0.50000
Engenni	Africa	-4	4.30103	5.17	6.38	15	0.37500	-0.44444
Gwari	Africa	-4	5.84510	9.50	7.00	17	0.29167	-0.57143
Ijo (Kolokuma)	Africa	-4	6.00000	4.92	5.67	10	0.58333	-0.28571
Moro	Africa	-4	4.47712	11.00	30.17	15	0.37500	-0.44444
Nandi	Africa	-4	6.39060	0.25	35.00	10	0.58333	-0.28571
Obolo	Africa	-4	5.30103	4.58	7.83	15	0.37500	-0.44444
Somali	Africa	-4	7.10221	3.00	45.00	12	0.50000	-0.33333
Dagur	Asia	-4	4.98266	48.00	124.00	13	0.45833	-0.36364
Ekari	Asia	-4	5.00000	-3.83	135.50	12	0.50000	-0.33333
Hatam	Asia	-4	4.20412	-1.00	134.00	11	0.54167	-0.30769
Iban	Asia	-4	5.61805	2.00	112.00	18	0.25000	-0.66667
Jingpho	Asia	-4	5.97313	25.42	97.00	18	0.25000	-0.66667
Kolami	Asia	-4	4.69897	20.00	78.50	18	0.25000	-0.66667
Malayalam	Asia	-4	7.55336	10.00	76.50	16	0.33333	-0.50000
Minangkabau	Asia	-4	6.81291	-1.00	101.00	19	0.20833	-0.80000
Mizo	Asia	-4	5.73443	23.17	92.83	13	0.45833	-0.36364
Naga (Mao)	Asia	-4	4.90849	25.50	94.33	17	0.29167	-0.57143
Rawang	Asia	-4	5.08853	27.50	97.50	16	0.33333	-0.50000
Sahu	Asia	-4	3.87506	1.17	127.50	14	0.41667	-0.40000
Sikkimese	Asia	-4	4.45637	27.83	88.50	18	0.25000	-0.66667
Telugu	Asia	-4	7.84316	16.00	79.00	16	0.33333	-0.50000
Tetun	Asia	-4	5.65321	-9.00	126.00	17	0.29167	-0.57143
Tidore	Asia	-4	4.41497	0.75	127.50	13	0.45833	-0.36364
Urak Lawoi","Asia",-4,3.47712,8,98.33,17,0.29167,-0.57143
"24","Djapu","Australia and Oceania",-4,2.69897,-12.67,136,17,0.29167,-0.57143
"25","Kwaio","Australia and Oceania",-4,4.12218,-8.95,161,17,0.29167,-0.57143
"26","Manam","Australia and Oceania",-4,3.90031,-4,145,17,0.29167,-0.57143
"27","Samoan","Australia and Oceania",-4,5.5686,-13.92,-171.83,13,0.45833,-0.36364
"28","Siroi","Australia and Oceania",-4,3.11694,-5.5,146,18,0.25,-0.66667
"29","Tongan","Australia and Oceania",-4,5.02251,-21.17,-175.17,18,0.25,-0.66667
"30","Wardaman","Australia and Oceania",-4,1.69897,-15.5,131,10,0.58333,-0.28571
"31","Even","Eurasia",-4,3.87754,68,130,15,0.375,-0.44444
"32","Udihe","Eurasia",-4,2,47.67,136.25,12,0.5,-0.33333
"33","Bulgarian","Europe",-4,6.95206,42.5,25,11,0.54167,-0.30769
"34","Romanian","Europe",-4,7.37104,46,25,14,0.41667,-0.4
"35","Saami (Northern)","Europe",-4,4.32222,69,24,16,0.33333,-0.5
"36","Coos (Hanis)","North America",-4,1.69897,43.5,-124.17,8,0.66667,-0.25
"37","Diegueño (Mesa Grande)","North America",-4,2.46982,32.67,-116.17,16,0.33333,-0.5
"38","Miskito","North America",-4,5.2634,14,-83.67,13,0.45833,-0.36364
"39","Miwok (Southern Sierra)","North America",-4,1.69897,37.5,-120,8,0.66667,-0.25
"40","Oneida","North America",-4,2.39794,43,-75.67,5,0.79167,-0.21053
"41","Passamaquoddy-Maliseet","North America",-4,3.2188,45,-67,10,0.58333,-0.28571
"42","Purépecha","North America",-4,5.07918,19.5,-101.67,11,0.54167,-0.30769
"43","Totonac (Misantla)","North America",-4,2.69897,19.92,-96.92,13,0.45833,-0.36364
"44","Trique (Copala)","North America",-4,4.17609,17.17,-97.92,14,0.41667,-0.4
"45","Tzutujil","North America",-4,4.69897,14.67,-91.33,8,0.66667,-0.25
"46","Zoque (Copainalá)","North America",-4,4,17,-93.25,7,0.70833,-0.23529
"47","Apalaí","South America",-4,2.65321,0,-54,12,0.5,-0.33333
"48","Aymara","South America",-4,6.34785,-17,-69,6,0.75,-0.22222
"49","Carib","South America",-4,4.00971,5.5,-56,8,0.66667,-0.25
"50","Cayuvava","South America",-4,1.69897,-13.5,-65.5,12,0.5,-0.33333
"51","Guaraní","South America",-4,6.68556,-26,-56,3,0.875,-0.19048
"52","Iquito","South America",-4,1.69897,-3.25,-74,12,0.5,-0.33333
"53","Macushi","South America",-4,4.39094,4,-60,8,0.66667,-0.25
"54","Palikur","South America",-4,3.11394,3,-51,12,0.5,-0.33333
"55","//Ani","Africa",-3,3,-18.92,21.92,16,0.33333,-0.375
"56","Babungo","Africa",-3,4.13033,6.12,10.42,14,0.41667,-0.3
"57","Coptic","Africa",-3,1.69897,26,32,14,0.41667,-0.3
"58","Didinga","Africa",-3,5,4.5,33.5,17,0.29167,-0.42857
"59","Fula (Nigerian)","Africa",-3,6.23247,8.17,10.5,13,0.45833,-0.27273
"60","Gbaya Kara","Africa",-3,5.42651,6,15,17,0.29167,-0.42857
"61","Jukun","Africa",-3,3.38703,6.92,10.42,18,0.25,-0.5
"62","Komo","Africa",-3,4.0607,8.75,33.75,16,0.33333,-0.375
"63","Kpelle","Africa",-3,5.68789,7,-10,18,0.25,-0.5
"64","Lele","Africa",-3,4.41497,9.08,15.58,13,0.45833,-0.27273
"65","Lingala","Africa",-3,6.33025,2,18.5,17,0.29167,-0.42857
"66","Luo","Africa",-3,6.5397,-0.5,34.75,14,0.41667,-0.3
"67","Mauka","Africa",-3,5.22814,8.33,-7.5,18,0.25,-0.5
"68","Mende","Africa",-3,6.17017,7.83,-11.5,12,0.5,-0.25
"69","Mundang","Africa",-3,5.31298,9.67,14.5,20,0.16667,-0.75
"70","Ndonga","Africa",-3,5.84025,-18,17,14,0.41667,-0.3
"71","Nupe","Africa",-3,5.90309,9.17,5.42,14,0.41667,-0.3
